# Numero de destritos
38

# Distancia maxima ate UPA mais proxima (X) | Distancia maxima ate segunda UPA mais proxima (Y)
53 62

# ID do destrito | latitude | longitude 
0 10 87
1 90 -57
2 38 -34
3 -62 83
4 30 -79
5 -87 -64
6 -17 -15
7 41 64
8 -49 -58
9 40 40
10 70 97
11 -9 21
12 95 -91
13 -46 32
14 -54 -62
15 -58 14
16 75 -87
17 -67 20
18 48 46
19 -10 -60
20 -41 -48
21 -99 50
22 -20 -83
23 -28 -86
24 -5 -99
25 -90 -91
26 -86 -49
27 -72 -53
28 -11 -59
29 -48 23
30 -25 -94
31 -51 100
32 -20 -73
33 -8 -79
34 50 -31
35 -74 89
36 26 -41
37 79 10
